"","weeks","frac_positive","lb_positive_week","ub_positive_week","lb_positive","ub_positive"
"101",105,0.482558775287042,0.0465998699122862,0.089462723274907,0.0430548461518292,0.108288029088564
"102",106,0.439037725533078,0.0364989278646806,0.111824388019949,0.0408342077324911,0.113792555226855
"103",107,0.46473482777474,0.0028916333226108,0.120599475673797,0.0110887379408111,0.152920187515247
"104",108,0.435538545653362,0.0473309228744426,0.0843010166847625,0.0497305078163579,0.112542548460554
"105",109,0.487151448879169,0.0790406164697115,0.0690183262212783,0.0722415690430884,0.0996493928843558
"106",110,0.509677419354839,0.0411602278188927,0.12386142593271,0.0396887240457984,0.122008540065838
"107",111,0.504975396391471,0.0463506923661696,0.115875841439897,0.0479227279751474,0.111414735694775
"108",112,0.453253143794423,0.0464711930138967,0.0996554709799159,0.0430388406793805,0.103885245913099
"109",113,0.537452159650082,0.0381738101170281,0.107324052469053,0.04153972505895,0.106238388098515
"110",114,0.551667577911427,0.0296152009468622,0.105981826286683,0.0107535081750216,0.113464470343848
"111",115,0.535702569710224,0.0280654363687326,0.100577734603243,0.0189834777026815,0.0905790998566907
"112",116,0.575177692728267,0.0565584386391083,0.080422522174242,0.0531768714462143,0.0827144902438922
"113",117,0.563914707490432,0.0387872574215361,0.0924635006992808,0.0300551868699243,0.0919104389063331
"114",118,0.634117003827228,0.057293465185226,0.094591729204476,0.0475613651358087,0.0975296634571857
"115",119,0.558556588299617,0.0424803040628288,0.1142391212988,0.0299793511984412,0.117872294053314
"116",120,0.520065609622745,0.0164665890533236,0.109219500561744,0.0100552621125749,0.101824736905597
"117",121,0.523783488244943,0.0538461126273528,0.0861242852797332,0.0403482345910195,0.0924388984262457
"118",122,0.495462001093494,0.0172010020284105,0.122661522492169,0.00697363461379709,0.109534397691452
"119",123,0.502351011481684,0.0407253569736224,0.104153334102087,0.0181799389711425,0.103268417681304
"120",124,0.542044833242209,0.0154570317031584,0.108461319029225,0.00933989572188167,0.107973972117572
"121",125,0.558119190814653,0.0103313981098792,0.133662945427099,0.0157474941668949,0.117560217160301
"122",126,0.523892837616184,0.0306598356987428,0.0991778033613781,0.0320522000114117,0.085979120582285
"123",127,0.486932750136687,0.0139845238295304,0.124227898870484,0.000886659474790819,0.116530541270761
"124",128,0.550792782941498,0.0450348516582984,0.109053080793803,0.0262235108859627,0.10504135818473
"125",129,0.563477310005467,0.04234012497707,0.0985450173358168,0.0325163655409313,0.102363614931347
"126",130,0.556369600874795,0.0432624635419584,0.120882523342353,0.0410781515224294,0.106208448039063
"127",131,0.545544013121925,0.0441737042065965,0.128468669317721,0.0412719352203324,0.116206114274197
"128",132,0.523018042646255,0.0611783632178788,0.098727028876687,0.0359068104392313,0.0922090014619941
"129",133,0.571022416621104,0.0319995596897291,0.126978789299888,0.040521826078278,0.117687352113014
"130",134,0.568835429196282,0.0320997755183022,0.111067128219505,0.0251007408033599,0.117096090677863
"131",135,0.531000546746856,0.0540874539727206,0.088164284684495,0.0502551609719923,0.0909636509869045
"132",136,0.537452159650082,-0.000164872105962965,0.109633482477689,0.00937601558476602,0.122376018694709
"133",137,0.498851831601968,-0.0117204151177526,0.111381120739507,0.00398081685166724,0.11023568963224
"134",138,0.459376708583926,-0.00697317272919473,0.111120114707465,0.0121311162381919,0.101225805174198
"135",139,0.50092946965555,-0.0194750887215154,0.0965224155044299,0.00514118352370501,0.0959273751943887
"136",140,0.498961180973209,0.0126436105235127,0.0860453238404557,0.0366668715666834,0.0896998901091933
"137",141,0.506615636960087,-0.00636129276013282,0.0710647785741625,0.0127927541679488,0.0721384074560619
"138",142,0.475123018042646,0.0319916886075116,0.069212071110554,0.0106545579561134,0.0771190490061485
