"","weeks","bound","group"
"202",206,1.99421108496986,0
"203",207,2.00946095108387,0
"204",208,2.03452809791176,0
"205",5,1.66442772614161,1
"206",6,1.65577195114202,1
"207",7,1.68519608656654,1
"208",8,1.74056796440346,1
"209",9,1.78986537427924,1
"210",10,1.78526503772827,1
"211",11,1.76069287147866,1
"212",12,1.75897325374149,1
"213",13,1.74373227898972,1
"214",14,1.76208000297859,1
"215",15,1.75039258693003,1
"216",16,1.73637525363971,1
"217",17,1.73706067352274,1
"218",18,1.70430305783144,1
"219",19,1.72786180520815,1
"220",20,1.76013317273166,1
"221",21,1.7739785011856,1
"222",22,1.77966725477646,1
"223",23,1.79734454450982,1
"224",24,1.76921460512808,1
"225",25,1.75688375849234,1
"226",26,1.73395145633415,1
"227",27,1.75472021535258,1
"228",28,1.73116572820984,1
"229",29,1.75769540181989,1
"230",30,1.76330133700905,1
"231",31,1.71621794787378,1
"232",32,1.71076558537465,1
"233",33,1.66643814731821,1
"234",34,1.68609808623373,1
"235",35,1.68204971267984,1
"236",36,1.70627857333855,1
"237",37,1.70033382117275,1
"238",38,1.72298313379554,1
"239",39,1.74699511274701,1
"240",40,1.78319444712912,1
"241",41,1.74784947495594,1
"242",42,1.77530415025404,1
"243",43,1.74680460593564,1
"244",44,1.78115295897916,1
"245",45,1.80527175734891,1
"246",46,1.79631785035447,1
"247",47,1.81009716856447,1
"248",48,1.79206610978647,1
"249",49,1.76094493025734,1
"250",50,1.78029148649891,1
"251",51,1.82280129595741,1
"252",52,1.80968180719226,1
"253",53,1.81278575786132,1
"254",54,1.81443069231212,1
"255",55,1.80778540366853,1
"256",56,1.8239927288925,1
"257",57,1.84571076897717,1
"258",58,1.82037915271106,1
"259",59,1.83582017555788,1
"260",60,1.8598403499958,1
"261",61,1.85187389233283,1
"262",62,1.8882471112712,1
"263",63,1.86619538938165,1
"264",64,1.85114339853833,1
"265",65,1.87593892132531,1
"266",66,1.88336567204203,1
"267",67,1.901454597099,1
"268",68,1.92336127587373,1
"269",69,1.9579142385477,1
"270",70,1.94329972667345,1
"271",71,1.94038977856435,1
"272",72,1.91324682067725,1
"273",73,1.8990140776976,1
"274",74,1.87554708209196,1
"275",75,1.84475133949787,1
"276",76,1.84798247563848,1
"277",77,1.8534917373087,1
"278",78,1.88364136476795,1
"279",79,1.87857018622299,1
"280",80,1.91955269073651,1
"281",81,1.90213882606489,1
"282",82,1.92651304854682,1
"283",83,1.93716082507981,1
"284",84,1.88874333282808,1
"285",85,1.92242755346428,1
"286",86,1.91449979200757,1
"287",87,1.90947875541383,1
"288",88,1.89585381983176,1
"289",89,1.90205141068024,1
"290",90,1.92431699371549,1
"291",91,1.91768859557863,1
"292",92,1.91794936504696,1
"293",93,1.929132890144,1
"294",94,1.92679671997829,1
"295",95,1.91611963271269,1
"296",96,1.9005518821385,1
"297",97,1.92544930300971,1
"298",98,1.94970615829315,1
"299",99,1.93039420029252,1
"300",100,1.91277547730484,1
"301",101,1.88729852847468,1
"302",102,1.90181517548085,1
"303",103,1.91199736878004,1
"304",104,1.95067515297828,1
"305",105,1.92766151709493,1
"306",106,1.94570194977503,1
"307",107,1.92931015539065,1
"308",108,1.95314137282175,1
"309",109,1.95428073069008,1
"310",110,1.94446400771733,1
"311",111,1.92683515808565,1
"312",112,1.91795793148586,1
"313",113,1.91523941559548,1
"314",114,1.93490526098804,1
"315",115,1.95155351553904,1
"316",116,1.96400421063223,1
"317",117,1.96326418349337,1
"318",118,1.91633612352268,1
"319",119,1.89017563957202,1
"320",120,1.91821326573946,1
"321",121,1.93359553397555,1
"322",122,1.9066658028349,1
"323",123,1.90765872439974,1
"324",124,1.90016000022884,1
"325",125,1.91707035713594,1
"326",126,1.9045226609239,1
"327",127,1.89840205572503,1
"328",128,1.90951033955512,1
"329",129,1.90146281801949,1
"330",130,1.87849249749261,1
"331",131,1.8856167156375,1
