"","weeks","bound","group"
"223",23,1.83310050297503,1
"224",24,1.83260369122617,1
"225",25,1.83376894538596,1
"226",26,1.82488273655317,1
"227",27,1.83194562721086,1
"228",28,1.82320512217458,1
"229",29,1.81528823835864,1
"230",30,1.81682565076389,1
"231",31,1.82243548475794,1
"232",32,1.81501777342006,1
"233",33,1.79828656677378,1
"234",34,1.80082443773112,1
"235",35,1.79583651876638,1
"236",36,1.79023802065218,1
"237",37,1.79412669417081,1
"238",38,1.79798460952415,1
"239",39,1.78999210365256,1
"240",40,1.79814210521478,1
"241",41,1.80013428026019,1
"242",42,1.79913556185643,1
"243",43,1.80519306963436,1
"244",44,1.80389589233236,1
"245",45,1.81201587703928,1
"246",46,1.8103659433515,1
"247",47,1.81640462340248,1
"248",48,1.82115641425208,1
"249",49,1.81736399394752,1
"250",50,1.80136072371223,1
"251",51,1.80504170042368,1
"252",52,1.80376726973414,1
"253",53,1.79452539045694,1
"254",54,1.80297459729137,1
"255",55,1.81945392317717,1
"256",56,1.82576475757046,1
"257",57,1.82118100616186,1
"258",58,1.81955381382598,1
"259",59,1.83439556384877,1
"260",60,1.83388146668467,1
"261",61,1.84296500940139,1
"262",62,1.85669147872256,1
"263",63,1.85252176405189,1
"264",64,1.84636490834886,1
"265",65,1.86036519145149,1
"266",66,1.86723374941689,1
"267",67,1.87711184371518,1
"268",68,1.87444952187726,1
"269",69,1.87189135072019,1
"270",70,1.87837771678228,1
"271",71,1.87598966334005,1
"272",72,1.87644528777329,1
"273",73,1.87409343138466,1
"274",74,1.87192730140499,1
"275",75,1.86960046081876,1
"276",76,1.87255438772901,1
"277",77,1.87359172699685,1
"278",78,1.86856681283538,1
"279",79,1.86274024796376,1
"280",80,1.8724144265729,1
"281",81,1.8669983151286,1
"282",82,1.88036035280812,1
"283",83,1.88340473742602,1
"284",84,1.86601356015079,1
"285",85,1.86601396231574,1
"286",86,1.8694237460429,1
"287",87,1.86251407790682,1
"288",88,1.86990810728181,1
"289",89,1.86742795368464,1
"290",90,1.86264041852351,1
"291",91,1.87425328952165,1
"292",92,1.8709270164471,1
"293",93,1.87757467353575,1
"294",94,1.87952100202125,1
"295",95,1.87909847095913,1
"296",96,1.88491376417242,1
"297",97,1.87550374434597,1
"298",98,1.89913191133449,1
"299",99,1.88522375412711,1
"300",100,1.87645874236709,1
"301",101,1.87836422782539,1
"302",102,1.88735714356881,1
"303",103,1.88329927791754,1
"304",104,1.90111190099787,1
"305",105,1.90761685111253,1
"306",106,1.89841341416507,1
"307",107,1.89173725529757,1
"308",108,1.89532232976184,1
"309",109,1.90162995029829,1
"310",110,1.89680458539679,1
"311",111,1.89453563756212,1
"312",112,1.87820321672277,1
"313",113,1.87727502470206,1
"314",114,1.88906649312243,1
"315",115,1.89136384613893,1
"316",116,1.89263867762755,1
"317",117,1.88945175537288,1
"318",118,1.89066265046216,1
"319",119,1.8878824097097,1
"320",120,1.90248196378948,1
"321",121,1.90499162681308,1
"322",122,1.90357060312967,1
